status,private pool,propertyType,street,baths,homeFacts,fireplace,city,schools,sqft,zipcode,beds,state,stories,mls-id,PrivatePool,MlsId,target
for sale,,single-family home,8079 Cardinal Cv E,2 Baths,"{'atAGlanceFacts': [{'factValue': '1988', 'factLabel': 'Year built'}, {'factValue': '1988', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '0.28 acres', 'factLabel': 'lotsize'}, {'factValue': '$107/sqft', 'factLabel': 'Price/sqft'}]}",,Indianapolis,"[{'rating': ['5/10', '3/10', '3/10'], 'data': {'Distance': ['0.48mi', '1.2mi', '2.84mi'], 'Grades': ['9-12', '1-6', '7-8']}, 'name': ['Lawrence North High School', 'Crestview Elementary School', 'Fall Creek Valley Middle School']}]","1,444 sqft",46256,3 Beds,IN,1.0,,,21684082,"$155,000"
for sale,,condo,2660 Connecticut Ave NW #3,4 Baths,"{'atAGlanceFacts': [{'factValue': '1928', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '', 'factLabel': 'lotsize'}, {'factValue': '$1,786/sqft', 'factLabel': 'Price/sqft'}]}",yes,Washington,"[{'rating': ['9/10', '10/10'], 'data': {'Distance': ['2.14mi', '0.23mi'], 'Grades': ['9-12', 'PK-8']}, 'name': ['Wilson High School', 'Oyster-Adams Bilingual School']}]","4,532 sqft",20008,3 Beds,DC,1.0,,,DCDC403384,"$8,095,000"
for sale,,multi-family,2007 Clyde Ave,6 Baths,"{'atAGlanceFacts': [{'factValue': '1955', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Wall', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '7', 'factLabel': 'Parking'}, {'factValue': '9,885 sqft', 'factLabel': 'lotsize'}, {'factValue': '$389/sqft', 'factLabel': 'Price/sqft'}]}",,Los Angeles,"[{'rating': ['6/10', '3/10'], 'data': {'Distance': ['1.49mi', '4.12mi'], 'Grades': ['9-12', '6-8']}, 'name': ['Alexander Hamilton Senior High School', 'Daniel Webster Middle School']}]","4,368 sqft",90016,12 Beds,CA,2.0,,,19-532594,"$1,700,000"
for sale,,single-family home,342 Anchovie Ct,2 Baths,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '7,823 sqft', 'factLabel': 'lotsize'}, {'factValue': '$144/sqft', 'factLabel': 'Price/sqft'}]}",,Poinciana,"[{'rating': ['2/10', '1/10', '3/10'], 'data': {'Distance': ['1.21mi', '1.16mi', '6.28mi'], 'Grades': ['PK-4', '5-8', 'PK-12']}, 'name': ['Laurel Elementary School', 'Lake Marion Creek Elementary School', 'Haines City Senior High School']}]","1,354 sqft",34759,3 Beds,FL,,,,O5832703,"$195,000"
for sale,,single-family home,19697 Carrie St,2 Baths,"{'atAGlanceFacts': [{'factValue': '1950', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': 'Detached Garage, Attached Garage', 'factLabel': 'Parking'}, {'factValue': '3,920 sqft', 'factLabel': 'lotsize'}, {'factValue': '$48/sqft', 'factLabel': 'Price/sqft'}]}",,Detroit,"[{'rating': ['4/10', '4/10', '4/10', '4/10', '3/10', '2/10', '2/10', '6/10', '2/10', '1/10', '2/10', '3/10', '1/10', '3/10', '2/10'], 'data': {'Distance': ['9.39mi', '8.3mi', '6.5mi', '7.16mi', '6.26mi', '8.95mi', '12.14mi', '6.7mi', '1.48mi', '1.48mi', '1.48mi', '4.7mi', '1.18mi', '3.48mi', '6.82mi'], 'Grades': ['9-12', 'K-8', '9-12', '9-12', 'K-8', '5-8', '5-8', 'K-8', '9-12', '9-12', '9-12', 'K-12', 'K-8', 'K-8', '6-12']}, 'name': ['Communication And Media Arts High School', 'Foreign Language Immersion And Cultural Studies', 'Detroit School of Arts', 'Cass Technical High School', 'Spain Elementary-Middle School', 'Clippert Academy', 'Ludington Magnet Middle School', 'Bates Academy', 'Osborn College Preparatory Academy', 'Osborn Evergreen Academy Of Design And Alternative', 'Osborn Academy Of Mathematics', 'Detroit International Academy For Young Women', 'Mason Elementary School', ""Edward 'Duke' Ellington @ Beckham"", 'Douglass Academy For Young Men']}]","1,008 sqft",48234,4 Beds,MI,1.0,,,219079248,"$48,000"
Active,,Single Family Home,212 College Ct,1.5,"{'atAGlanceFacts': [{'factValue': '1967', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Central Electric', 'factLabel': 'Heating'}, {'factValue': 'Central Electric', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '7405', 'factLabel': 'lotsize'}, {'factValue': '$27', 'factLabel': 'Price/sqft'}]}",,Adel,"[{'rating': ['3', '5', '4', 'NR', 'NR'], 'data': {'Distance': ['1.2 mi', '1.3 mi', '2.8 mi', '2.4 mi', '0.8 mi'], 'Grades': ['3–5', '6–8', '9–12', 'PK–2', 'PK–8']}, 'name': ['Cook Elementary School', 'Cook County Middle School', 'Cook High School', 'Cook Primary School', 'Community Christian Academy Private School']}]",1075,31620,3.0,GA,1,,,119916,"$28,500"
Active,,Land,Ewing Dr,,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '110642', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Nashville,"[{'rating': ['NR', '2', '1', '1', '1', 'NR', 'NR', 'NR'], 'data': {'Distance': ['1.6 mi', '2.1 mi', '3.0 mi', '2.0 mi', '3.1 mi', '1.2 mi', '1.6 mi', '1.7 mi'], 'Grades': ['5–5', '5–8', '9–12', 'PK–4', '5–8', '9–12', 'PK–6', 'K–8']}, 'name': ['Brick Church Middle School', 'Haynes Health/ Medical Science Design Center School', 'Whites Creek Comp High School', 'Alex Green Elementary School', 'Jere Baxter Middle School', 'Johnson Alternative Learning Center School', 'Clara Mohammed Private School', 'Clara Muhammad Private School']}]",0,37207,,TN,,,,2090697,"$600,000"
Active,,High Rise,601 NE 27th St #1401 ,,"{'atAGlanceFacts': [{'factValue': '2016', 'factLabel': 'Year built'}, {'factValue': '2016', 'factLabel': 'Remodeled year'}, {'factValue': 'Central Air', 'factLabel': 'Heating'}, {'factValue': 'Has Cooling', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '—', 'factLabel': 'lotsize'}, {'factValue': '$426 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,Miami,"[{'rating': ['4', '10', 'NR', '2', '2'], 'data': {'Distance': ['1.0 mi', '23.9 mi', '18.9 mi', '1.1 mi', '1.6 mi'], 'Grades': ['Preschool to 5', 'Preschool to 8', 'K to 9', '6 to 8', '9 to 12']}, 'name': ['Eneida M. Hartner Elementary School', 'Air Base Elementary School', 'Robert Morgan Voc-Tech Institute', 'Jose de Diego Middle School', 'Booker T. Washington Senior High School']}]","1,170",33137,,FL,,,,A10760678,"499,000"
for sale,,single-family home,11913 235th St,2 Baths,"{'atAGlanceFacts': [{'factValue': '1950', 'factLabel': 'Year built'}, {'factValue': '1950', 'factLabel': 'Remodeled year'}, {'factValue': 'Other', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': 'On Street, Detached Garage, Carport', 'factLabel': 'Parking'}, {'factValue': '4,900 sqft', 'factLabel': 'lotsize'}, {'factValue': '$621/sqft', 'factLabel': 'Price/sqft'}]}",,Jamaica,"[{'rating': ['5/10', '5/10', '7/10', '7/10'], 'data': {'Distance': ['1.35mi', '1.35mi', '0.18mi', '0.18mi'], 'Grades': ['6-8', '6-8', 'PK-5', 'PK-5']}, 'name': ['Is 59 Springfield Gardens', 'Is 59 Springfield Gardens', 'Ps 176 Cambria Heights', 'Ps 176 Cambria Heights']}]","1,062 sqft",11411,4 Beds,NY,2,,,3182491,"$659,000"
For sale,,Single Family,6321 Arthur St,2 ba,"{'atAGlanceFacts': [{'factValue': '1959', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Electric', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '6,987 sqft', 'factLabel': 'lotsize'}, {'factValue': '$312', 'factLabel': 'Price/sqft'}]}",,Hollywood,"[{'rating': ['3/10', '5/10', '4/10'], 'data': {'Distance': ['0.6 mi', '0.6 mi', '0.7 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['West Hollywood Elementary School', 'Apollo Middle School', 'Mcarthur High School']}]",914 sqft,33024,3 bd,FL,,A10768116,,,"$285,000"
For sale,,Single Family,1771 SE 9th St,4,"{'atAGlanceFacts': [{'factValue': '1999', 'factLabel': 'Year built'}, {'factValue': '2000', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '1 space', 'factLabel': 'Parking'}, {'factValue': '3,659 sqft', 'factLabel': 'lotsize'}, {'factValue': '$629', 'factLabel': 'Price/sqft'}]}",,Fort Lauderdale,"[{'rating': ['7/10', '5/10', '7/10'], 'data': {'Distance': ['0.9 mi', '2 mi', '2.5 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Harbordale Elementary School', 'Sunrise Middle School', 'Fort Lauderdale High School']}]","3,418",33316,3,FL,2.0,,,F10199506,"$2,150,000"
for sale,,single-family home,14336 Tobe Davis Dr,2 Baths,"{'atAGlanceFacts': [{'factValue': '2016', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '2', 'factLabel': 'Parking'}, {'factValue': '5227 sqft', 'factLabel': 'lotsize'}, {'factValue': '$114/sqft', 'factLabel': 'Price/sqft'}]}",,El Paso,"[{'rating': ['4/10', '6/10', '3/10'], 'data': {'Distance': ['0.65mi', '0.65mi', '0.65mi'], 'Grades': ['6-8', 'PK-5', '9-12']}, 'name': ['Horizon Middle School', 'Desert Hills Elementary School', 'Horizon High School']}]","1,488 sqft",79928,4 Beds,TX,1.0,,,734931,"$169,950"
for sale,,single-family home,5106 Alabama Ave,3 Baths,"{'atAGlanceFacts': [{'factValue': '1950', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '6534 sqft', 'factLabel': 'lotsize'}, {'factValue': '$165/sqft', 'factLabel': 'Price/sqft'}]}",yes,Chattanooga,"[{'rating': ['4/10', '3/10'], 'data': {'Distance': ['3.4mi', '1.5mi'], 'Grades': ['6-12', 'PK-5']}, 'name': ['Lookout Valley Middle / High School', 'Calvin Donaldson Environmental Science Academy']}]","1,806 sqft",37409,3 Beds,TN,,,,1303458,"$298,700"
,,Single Family,2422 Dunmore Hl,3.0,"{'atAGlanceFacts': [{'factValue': '2012', 'factLabel': 'Year built'}, {'factValue': None, 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '2 spaces', 'factLabel': 'Parking'}, {'factValue': '7,405 sqft', 'factLabel': 'lotsize'}, {'factValue': '$180', 'factLabel': 'Price/sqft'}]}",Not Applicable,San Antonio,"[{'rating': ['6/10', '5/10', '7/10'], 'data': {'Distance': ['1.1 mi', '2.2 mi', '1.4 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Oak Meadow Elementary School', 'Jackson Middle School', 'Churchill High School']}]","2,358",78230,3,TX,1.0,,,1412672,"$424,900"
for sale,,single-family home,10005 N Hyacinth Ave,2 Baths,"{'atAGlanceFacts': [{'factValue': '1924', 'factLabel': 'Year built'}, {'factValue': '1989', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '6,000 sqft', 'factLabel': 'lotsize'}, {'factValue': '$144/sqft', 'factLabel': 'Price/sqft'}]}",yes,Tampa,"[{'rating': ['2/10', '1/10', '4/10'], 'data': {'Distance': ['1.31mi', '0.9mi', '9.81mi'], 'Grades': ['6-8', '6-8', '9-12']}, 'name': ['Adams Middle School', 'Van Buren Middle School', 'Wharton High School']}]","1,456 sqft",33612,2 Beds,FL,2,,,T3216270,"$209,000"
for sale,,mobile/manufactured,4810 Kreuger St,2 Baths,"{'atAGlanceFacts': [{'factValue': '2002', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '0.53 acres', 'factLabel': 'lotsize'}, {'factValue': '$82/sqft', 'factLabel': 'Price/sqft'}]}",,El Paso,"[{'rating': ['3/10', '5/10', '4/10'], 'data': {'Distance': ['11.11mi', '11.11mi', '11.11mi'], 'Grades': ['9-12', 'PK-5', '6-8']}, 'name': ['Mountain View High School', 'Red Sands Elementary School', 'East Montana Middle School']}]","1,344 sqft",79938,3 Beds,TX,1.0,,,815538,"$110,000"
for sale,,single-family home,150 Oak Dr SW,2 Baths,"{'atAGlanceFacts': [{'factValue': '1956', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Carport', 'factLabel': 'Parking'}, {'factValue': '8,398 sqft', 'factLabel': 'lotsize'}, {'factValue': '$175/sqft', 'factLabel': 'Price/sqft'}]}",,Atlanta,"[{'rating': ['3/10', '3/10'], 'data': {'Distance': ['0.34mi', '0.95mi'], 'Grades': ['6-8', 'PK-5']}, 'name': ['Long Middle School', 'Heritage Academy Elementary']}]","1,000 sqft",30354,3 Beds,GA,1.0,,,8709153,"$175,000"
Active,,"Tri-Level, Northwestern Contemporary",2587 Magnolia Blvd W ,~,"{'atAGlanceFacts': [{'factValue': '1967', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Lower level-Gas', 'factLabel': 'Heating'}, {'factValue': 'Forced Air Heating, Heat Pump, HEPA Air Filtration', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '0.34 Acres', 'factLabel': 'lotsize'}, {'factValue': '$813 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",2,Seattle,"[{'rating': ['8', '8', '6', '8', '9', '6'], 'data': {'Distance': ['0.7 mi', '2.6 mi', '2.6 mi', '2.8 mi', '3.0 mi', '3.3 mi'], 'Grades': ['K to 8', 'K to 12', '6 to 8', 'K to 8', '9 to 12', '9 to 12']}, 'name': ['Catharine Blaine K-8', 'Home School Resource Center', 'McClure Middle School', 'Salmon Bay School', 'Ballard High School', 'The Center School']}]","3,190",98199,Baths,WA,,,,1497930,"2,595,000"
Active,,,2800 58th Way N ,,"{'atAGlanceFacts': [{'factValue': '1966', 'factLabel': 'Year built'}, {'factValue': '1998', 'factLabel': 'Remodeled year'}, {'factValue': 'Central', 'factLabel': 'Heating'}, {'factValue': 'Central Air', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '8,786 Sq. Ft.', 'factLabel': 'lotsize'}, {'factValue': '$198 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,ST PETERSBURG,"[{'rating': ['3', '3', '3'], 'data': {'Distance': ['0.4 mi', '0.8 mi', '2.6 mi'], 'Grades': ['K to 5', '6 to 8', '9 to 12']}, 'name': ['Westgate Elementary School', 'Tyrone Middle School', 'Boca Ciega High School']}]","1,517",33710,,FL,One,,,U8060393,"299,999"
for sale,,single-family home,240 N Julia Cir,2 Baths,"{'atAGlanceFacts': [{'factValue': '1970', 'factLabel': 'Year built'}, {'factValue': '1982', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '8,677 sqft', 'factLabel': 'lotsize'}, {'factValue': '$415/sqft', 'factLabel': 'Price/sqft'}]}",,Saint Pete Beach,"[{'rating': ['4/10', '2/10', '4/10'], 'data': {'Distance': ['5.76mi', '6.21mi', '4.06mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Azalea Elementary School', 'Azalea Middle School', 'Boca Ciega High School']}]","1,867 sqft",33706,4 Beds,FL,1,,,O5832596,"$774,900"
Under Contract,,Single Family Home,1774 Early Amber,3,"{'atAGlanceFacts': [{'factValue': '2005', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Central Electric', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '43560', 'factLabel': 'lotsize'}, {'factValue': '$163', 'factLabel': 'Price/sqft'}]}",Fireplace YN,College Station,"[{'rating': ['7', '5', '6', '7', '6', '7'], 'data': {'Distance': ['4.1 mi', '10.0 mi', '8.7 mi', '5.0 mi', '10.1 mi', '6.2 mi'], 'Grades': ['PK–4', '7–8', '9–12', 'PK–4', '5–6', '9–12']}, 'name': ['Pebble Creek Elementary School', 'A & M Consolidated Middle School', 'A & M Cons High School', 'Forest Ridge School', 'Oakwood Intermediate School', 'College Station High School']}]",2726,77845,4,TX,One Story,,,19018704,"$445,000"
Active,,Single Family Home,1912 SE Twin Bridge Cir,2,"{'atAGlanceFacts': [{'factValue': '1992', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Central Electric', 'factLabel': 'Heating'}, {'factValue': 'Ceiling Fan, Central Electric', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': None, 'factLabel': 'lotsize'}, {'factValue': '$131', 'factLabel': 'Price/sqft'}]}",,Ocala,"[{'rating': ['3', '7', '6', '3', 'NR', 'NR', 'NR', 'NR'], 'data': {'Distance': ['0.8 mi', '1.6 mi', '3.2 mi', '1.0 mi', '1.0 mi', '1.0 mi', '0.6 mi', '0.8 mi'], 'Grades': ['PK–5', '6–8', '9–12', 'K–5', 'PK–12', 'K–12', '2–7', 'PK–8']}, 'name': ['South Ocala Elementary School', 'Osceola Middle School', 'Forest High School', 'Marion Elearning School', 'Student Services/Ese School', 'Marion Virtual Franchise School', 'The Reading Clinic Private School', 'The Cornerstone Private School']}]",2021,34471,3,FL,1,,,565853,"$265,500"
For sale,,Single Family,430 Aviator Cir,3.0,"{'atAGlanceFacts': [{'factValue': '2001', 'factLabel': 'Year built'}, {'factValue': None, 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '2 spaces', 'factLabel': 'Parking'}, {'factValue': '4,970 sqft', 'factLabel': 'lotsize'}, {'factValue': '$190', 'factLabel': 'Price/sqft'}]}",,Sacramento,"[{'rating': ['4/10', '3/10', 'NA'], 'data': {'Distance': ['0.3 mi', '1.8 mi', '1.6 mi'], 'Grades': ['K-5', '6-8', '9-12']}, 'name': ['Natomas Park Elementary School', 'Natomas Middle School', 'Discovery High School']}]","2,632",95835,4,CA,2,,,19072801,"$499,990"
for sale,,single-family home,2730 Wyngate Dr NW,6 Baths,"{'atAGlanceFacts': [{'factValue': '1965', 'factLabel': 'Year built'}, {'factValue': '1980', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '1.06 acres', 'factLabel': 'lotsize'}, {'factValue': '$303/sqft', 'factLabel': 'Price/sqft'}]}",yes,Atlanta,"[{'rating': ['8/10', '6/10', '6/10'], 'data': {'Distance': ['0.93mi', '3.68mi', '0.45mi'], 'Grades': ['K-5', '10-12', '6-8']}, 'name': ['Brandon Elementary School', 'North Atlanta High School', 'Sutton Middle School']}]","4,276 sqft",30305,4 Beds,GA,3.0,,,6619305,"$1,295,000"
,,Single Family,4311 E Osborne Ave,1.0,"{'atAGlanceFacts': [{'factValue': '1960', 'factLabel': 'Year built'}, {'factValue': '2000', 'factLabel': 'Remodeled year'}, {'factValue': 'Other', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'No Data', 'factLabel': 'Parking'}, {'factValue': '5,000 sqft', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Tampa,"[{'rating': ['1/10', '2/10', '3/10'], 'data': {'Distance': ['0.2 mi', '5.6 mi', '7.1 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['James Elementary School', 'Jennings Middle School', 'Armwood High School']}]",768 sqft,33610,3,FL,1,,,,"$86,960"
Active,,Condo/Townhome/Row Home/Co-Op,17639 Wildwood Ln,2.5,"{'atAGlanceFacts': [{'factValue': '2001', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central Air', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': None, 'factLabel': 'lotsize'}, {'factValue': '$70', 'factLabel': 'Price/sqft'}]}",1,Cleveland,"[{'rating': ['5', '2', '2', '6', '2', '2', 'NR', 'NR'], 'data': {'Distance': ['9.2 mi', '0.4 mi', '1.4 mi', '12.4 mi', '1.0 mi', '2.2 mi', '0.2 mi', '0.9 mi'], 'Grades': ['3–12', 'PK–9', '9–12', 'K–5', 'PK–9', '5–12', 'K–8', '9–12']}, 'name': ['Whitney Young School', 'Oliver H Perry Elementary School', 'Ginn Academy School', 'Louisa May Alcott Elementary School', 'Hannah Gibbons-Nottingham Elementary School', 'Collinwood High School', 'St John Lutheran Private School', 'Villa Angela-St Joseph Private School']}]",1996,44119,2.0,OH,3.00,,,4099897,"$140,000"
Active,,,Lot 8 Gay-dreisbach Rd ,,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '—', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Circleville,"[{'rating': ['6', '7', '5', '6'], 'data': {'Distance': ['1.3 mi', '4.0 mi', '4.9 mi', '4.2 mi'], 'Grades': ['K to 4', '6 to 8', '6 to 8', '9 to 12']}, 'name': ['Pickaway Elementary School', 'George McDowell-Exchange Junior High School', 'Everts Middle School', 'Logan Elm High School']}]",,43113,,OH,,,,218021981,"52,900"
For sale,,Single Family,4704 Willington Dr,Bathrooms: 4,"{'atAGlanceFacts': [{'factValue': '2002', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '2 spaces', 'factLabel': 'Parking'}, {'factValue': '6,969 sqft lot', 'factLabel': 'lotsize'}, {'factValue': '$121', 'factLabel': 'Price/sqft'}]}",Yes,Grand Prairie,"[{'rating': ['6/10', '6/10', '5/10'], 'data': {'Distance': ['0.3 mi', '1.2 mi', '1.2 mi'], 'Grades': ['PK-6', '7-8', '9-12']}, 'name': ['West Elementary School', 'Barnett J High School', 'Bowie High School']}]","Total interior livable area: 2,533 sqft",75052,5 bd,TX,2.0,14218438,,,"$307,000"
for sale,,condo,1433 S Belcher Rd #F13,2 Baths,"{'atAGlanceFacts': [{'factValue': '1968', 'factLabel': 'Year built'}, {'factValue': '1978', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'None', 'factLabel': 'Parking'}, {'factValue': '', 'factLabel': 'lotsize'}, {'factValue': '$114/sqft', 'factLabel': 'Price/sqft'}]}",,Clearwater,"[{'rating': ['4/10', '4/10', '3/10'], 'data': {'Distance': ['1.06mi', '1.21mi', '0.25mi'], 'Grades': ['PK-5', '9-12', '6-8']}, 'name': ['Belcher Elementary School', 'Clearwater High School', 'Oak Grove Middle School']}]",880 sqft,33764,2 Beds,FL,2.0,,yes,T3173095,"$100,000"
Active,,"Detached, One Story",1391 Camellia Cir ,,"{'atAGlanceFacts': [{'factValue': '1995', 'factLabel': 'Year built'}, {'factValue': '1995', 'factLabel': 'Remodeled year'}, {'factValue': 'Central Air', 'factLabel': 'Heating'}, {'factValue': 'Has Cooling', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '7,841 Sq. Ft.', 'factLabel': 'lotsize'}, {'factValue': '$251 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,Weston,"[{'rating': ['9', '9', '9'], 'data': {'Distance': ['1.2 mi', '0.7 mi', '2.5 mi'], 'Grades': ['Preschool to 5', '6 to 8', '9 to 12']}, 'name': ['Indian Trace Elementary School', 'Tequesta Trace Middle School', 'Cypress Bay High School']}]","2,255",33326,,FL,,,,A10773895,"565,000"
Active,,Craftsman,10043 St. Kitts Landing Ln #89 ,,"{'atAGlanceFacts': [{'factValue': '2018', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': 'g-Energy Star HVAC, g-Fresh Air Ventilation, Gas (Hot Air), Heat Pump for A/C, Multi-Zone A/C, Multi-Zone Heat, Natural Gas', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '—', 'factLabel': 'lotsize'}, {'factValue': '$132 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,Charlotte,"[{'rating': ['9', '5', '7', '6', '3'], 'data': {'Distance': ['0.3 mi', '2.5 mi', '6.3 mi', '6.3 mi', '6.3 mi'], 'Grades': ['K to 5', '6 to 8', '9 to 12', '9 to 12', '9 to 12']}, 'name': ['Palisades Park Elementary', 'Southwest Middle School', 'Olympic - Math Engineer Tech', 'Olympic - Biotechnology Health', 'Olympic Renaissance']}]","2,762",28278,,NC,,,,3438659,"364,990"
